"ENSEMBLID","convalescent","healthy1","healthy2","healthy3","healthy4","healthy5","healthy6","healthy7","healthy8","healthy9","healthy10","healthy11","healthy12","healthy13","healthy14","healthy15","healthy16","healthy17","moderate1","moderate2","moderate3","moderate4","severe1","severe2","severe3","severe4","severe5","severe6","severe7","severe8","ICU1","ICU2","ICU3","ICU4","healthy_mean","moderate_mean","severe_mean","ICU_mean","mod_health_foldChange","sevr_health_foldChange","ICU_health_foldChange"
"ENSG00000288524",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,1,0,0,2,0,0,0,0,3,0,24,2,0,0.0588235294117647,1,0.625,6.5,17,10.625,110.5
"ENSG00000260048",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,10,4,2,2,0,14,2,6,0,0,6,0,6,14,0.0588235294117647,4,3.25,6.5,68,55.25,110.5
"ENSG00000196565",8,0,6,0,0,1,1,0,0,0,0,2,0,0,0,0,0,1,3,11,36,10,1,13,4,0,10,5,6,13,29,197,19,8,0.647058823529412,15,6.5,63.25,23.1818181818182,10.0454545454545,97.75
"ENSG00000112077",0,0,0,0,0,0,0,1,1,0,1,0,0,1,2,0,3,0,2,1,17,18,0,1,10,2,3,108,14,48,7,105,17,74,0.529411764705882,9.5,23.25,50.75,17.9444444444444,43.9166666666667,95.8611111111111
"ENSG00000076864",1,2,0,1,4,2,1,4,0,0,0,0,1,12,0,0,0,1,2,17,104,5,5,5,29,4,2,94,17,252,5,496,3,124,1.64705882352941,32,51,157,19.4285714285714,30.9642857142857,95.3214285714286
"ENSG00000287927",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,2,0,0,0,0,35,0,0,7,17,3,16,0.117647058823529,0.25,4.625,10.75,2.125,39.3125,91.375
"ENSG00000258921",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,3,0,1,0,43,0,0,0.117647058823529,0.25,0.625,10.75,2.125,5.3125,91.375
"ENSG00000164821",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2,1,6,2,1,0,1,0,3,0,0,9,2,10,0.0588235294117647,1,1.625,5.25,17,27.625,89.25
"ENSG00000254789",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,18,1,1,0.0588235294117647,0.25,0.25,5,4.25,4.25,85
"ENSG00000166947",8,4,4,10,3,1,1,1,2,0,1,2,0,36,0,15,20,4,1,142,374,130,3,32,90,3,5,290,101,686,47,1556,1,462,6.11764705882353,161.75,151.25,516.5,26.4399038461538,24.7235576923077,84.4278846153846
